Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
-48.68933,-52.70018,-79.54163,-95.28507,-65.25932,-68.27387,-63.34577,-86.62643,4.857689142,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.972985782,1.172985782
-48.02685,-52.23186,-77.84213,-83.99328,-64.43346,-64.72888,-62.97134,-92.52493,4.910967827,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.986018957,1.186018957
-47.67741,-52.07678,-77.77242,-79.51916,-62.56734,-62.77209,-63.73441,-90.12039,4.964190722,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,2.999052133,1.199052133
-47.42249,-51.96956,-78.72122,-78.03864,-61.58052,-62.37333,-65.72431,-86.48075,5.017151833,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.012085308,1.212085308
-47.26397,-51.77619,-81.77691,-78.57643,-61.87407,-63.59514,-71.26531,-85.91003,5.070517302,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.025118483,1.225118483
-47.02858,-51.38492,-86.00904,-81.24235,-63.57176,-66.10426,-77.66117,-82.18132,5.12268424,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.038151659,1.238151659
-47.10539,-51.29767,-85.75963,-91.16785,-66.92245,-69.04041,-76.84892,-81.97831,5.175501108,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.051184834,1.251184834
-47.44149,-51.57314,-81.97128,-91.51711,-72.10146,-67.01399,-73.09348,-81.3939,5.226722479,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.064218009,1.264218009
-47.92432,-52.04077,-81.99095,-82.08351,-68.84716,-64.39207,-72.17264,-84.07092,5.278935432,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.077251185,1.277251185
-48.44431,-52.57584,-82.10162,-79.85384,-65.18665,-63.247,-72.37273,-82.85865,5.333118916,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.09028436,1.29028436
-48.95682,-52.92733,-85.55287,-80.84626,-64.28055,-63.86402,-72.44659,-80.05833,5.386542082,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.103317536,1.303317536
-49.1691,-52.74796,-97.23705,-83.80946,-65.98577,-66.5249,-70.82655,-79.20828,5.439340353,0.36,915.5,8.5,13,8.5,5.0,0.5,13.6,8.5,21.9,17.5,14,7.8,3.116350711,1.316350711
