Unnamed: 0,Py0,Pz0,Py1,Pz1,Py2,Pz2,Py3,Pz3,time,channel,tag_height,frequency,tx_x,tx_y,rx0_x,rx0_y,rx1_x,rx1_y,rx2_x,rx2_y,rx3_x,rx3_y,x,y,distance
83,-68.18111,-65.382,-72.10766,-73.38532,-76.57738,-76.02914,-73.35194,-77.03007,21.54421687,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.892367906,5.392367906
84,-72.4715,-69.10719,-72.7349,-74.76523,-75.79282,-77.65253,-78.4114,-76.17051,21.80380559,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,5.956947162,5.456947162
85,-73.08025,-71.991,-78.82956,-79.14715,-77.2238,-77.62495,-79.63734,-78.65924,22.06178498,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.021526419,5.521526419
86,-75.68771,-70.91327,-74.95696,-73.701,-79.86578,-76.51427,-85.67947,-77.61633,22.32042408,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.086105675,5.586105675
87,-69.36096,-69.66473,-76.9201,-77.70498,-74.89713,-76.36278,-81.97052,-76.34889,22.57501173,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.150684932,5.650684932
88,-74.45823,-67.46555,-82.0052,-79.20958,-82.38067,-83.85332,-90.22182,-81.39491,22.83318043,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.215264188,5.715264188
89,-78.80267,-70.69054,-77.85853,-82.21587,-84.17442,-81.83366,-83.7067,-82.13542,23.0923183,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.279843444,5.779843444
90,-69.68968,-68.84424,-83.04366,-83.4418,-81.03725,-83.17979,-79.5212,-77.96249,23.35148001,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.344422701,5.844422701
91,-78.61559,-77.10425,-85.21148,-90.62225,-86.71967,-80.08329,-86.64514,-80.03126,23.60709763,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.409001957,5.909001957
92,-75.20085,-69.27885,-84.21471,-84.79673,-86.79872,-77.47384,-78.88201,-81.35911,23.85944605,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.473581213,5.973581213
93,-73.39822,-68.27995,-77.68134,-81.71188,-82.43615,-81.35233,-82.8047,-75.47041,24.11791325,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.53816047,6.03816047
94,-65.0263,-60.85357,-76.1388,-74.12819,-77.98787,-91.06375,-85.66457,-76.196,24.37673616,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.602739726,6.102739726
95,-67.22617,-62.73724,-72.49805,-75.46991,-76.87962,-76.55866,-87.01501,-80.89969,24.6348927,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.667318982,6.167318982
96,-75.98381,-64.67012,-81.1687,-75.91893,-74.4147,-73.5474,-86.39933,-81.05534,24.8941679,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.731898239,6.231898239
97,-65.43411,-59.57018,-72.83707,-73.04174,-76.17678,-77.07619,-80.53206,-78.94025,25.15310836,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.796477495,6.296477495
98,-67.89391,-60.78979,-76.00882,-73.75333,-83.53766,-84.80093,-75.99899,-76.94547,25.40963149,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.861056751,6.361056751
99,-73.71361,-65.25766,-79.02523,-80.71212,-81.95808,-82.96165,-84.09525,-80.42503,25.66925502,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.925636008,6.425636008
100,-72.18692,-69.81212,-86.43716,-80.93573,-79.59673,-77.07283,-82.50064,-77.16897,25.92877531,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,6.990215264,6.490215264
101,-71.66492,-65.73455,-78.36353,-81.98432,-82.39816,-75.82481,-82.33515,-75.57397,26.1887517,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.054794521,6.554794521
102,-71.67408,-68.35602,-81.47793,-80.77443,-84.03513,-78.09087,-86.27162,-81.44236,26.44667196,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.119373777,6.619373777
103,-77.45561,-68.12094,-79.27733,-80.16891,-86.06488,-79.92911,-86.73869,-82.06078,26.70412612,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.183953033,6.683953033
104,-70.46655,-65.40408,-76.40522,-77.62218,-86.64331,-83.42978,-80.69154,-81.09927,26.96213198,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.24853229,6.74853229
105,-66.44286,-62.38308,-74.93212,-71.87077,-78.77118,-75.74145,-78.54321,-78.80311,27.22116423,1,0.4,915.5,5,9,0,8,6.5,17.5,12.5,8.8,6.3,0,0,7.313111546,6.813111546
